wl,mm,ml,fat,skin
616.0126343,0.024130996,0.024130996,0.003443249,0.157590296
617.0465088,0.024142411,0.024142411,0.003474308,0.157474986
617.9324951,0.024080964,0.024080964,0.003455764,0.157136769
618.9658813,0.024073976,0.024073976,0.003452663,0.157104707
619.9989624,0.024136905,0.024136905,0.003479787,0.157398615
621.0317993,0.024162417,0.024162417,0.003521778,0.157317824
622.06427,0.02409172,0.02409172,0.003490805,0.156990863
622.9490356,0.023992866,0.023992866,0.003439046,0.156588186
623.9810181,0.02405797,0.02405797,0.003467376,0.156890531
625.0126343,0.024022656,0.024022656,0.003486712,0.15650266
626.0440063,0.024042979,0.024042979,0.003463369,0.156804673
626.9277954,0.023962267,0.023962267,0.003477333,0.156113201
627.9586182,0.023859812,0.023859812,0.003393586,0.155890056
628.9891357,0.023917763,0.023917763,0.003500833,0.155629989
630.0193481,0.023809642,0.023809642,0.003448111,0.155164487
631.0493164,0.023908827,0.023908827,0.003504647,0.155538804
631.9318237,0.023796199,0.023796199,0.003430922,0.155175207
632.9612427,0.023883564,0.023883564,0.003479773,0.15551103
633.9902954,0.023832449,0.023832449,0.003411246,0.155572243
635.019043,0.023796955,0.023796955,0.003445158,0.155089003
636.0475464,0.023723491,0.023723491,0.003359683,0.155093024
636.928833,0.023725709,0.023725709,0.003367518,0.155059004
637.9567871,0.02360068,0.02360068,0.003317484,0.154450174
638.984375,0.023630286,0.023630286,0.003319836,0.154655594
640.0117188,0.023497287,0.023497287,0.003267895,0.153999685
641.0386963,0.023496111,0.023496111,0.003238572,0.154180092
642.0654297,0.023399387,0.023399387,0.003150628,0.154026723
642.9451904,0.023468932,0.023468932,0.003254377,0.153875614
643.9713135,0.023439971,0.023439971,0.003225303,0.153847377
644.9971924,0.023400386,0.023400386,0.003214889,0.153619612
646.0227051,0.023384923,0.023384923,0.00323612,0.153367428
647.0479126,0.023268288,0.023268288,0.00318601,0.152821634
648.072876,0.02333701,0.02333701,0.003097152,0.153906924
648.9511108,0.023291873,0.023291873,0.003115858,0.153449929
649.9754639,0.023305154,0.023305154,0.003137055,0.153412138
650.9995117,0.023163288,0.023163288,0.003056699,0.152873466
652.0232544,0.023209353,0.023209353,0.00313456,0.15271441
653.0466919,0.023212206,0.023212206,0.00312557,0.152793661
654.0698242,0.023225809,0.023225809,0.003165201,0.15263936
654.9465332,0.023188097,0.023188097,0.003153327,0.152434964
655.9691162,0.023092603,0.023092603,0.00309953,0.152070476
656.991333,0.023041803,0.023041803,0.003077115,0.151836562
658.0132446,0.023084278,0.023084278,0.003096611,0.152027276
659.0348511,0.023100034,0.023100034,0.003117643,0.152008994
660.0562134,0.022967389,0.022967389,0.003055078,0.151424256
660.9313354,0.022986611,0.022986611,0.003097606,0.15129313
661.9520874,0.022952392,0.022952392,0.003057702,0.151295583
662.9724731,0.022962995,0.022962995,0.003060419,0.151357066
663.9926147,0.022902121,0.022902121,0.003086784,0.150733394
665.0123901,0.022885358,0.022885358,0.003064739,0.150750707
666.0318604,0.022966969,0.022966969,0.003115603,0.15103067
667.0510254,0.022845708,0.022845708,0.003015592,0.150772323
668.0698853,0.022819718,0.022819718,0.003051127,0.150349428
668.9429321,0.022829047,0.022829047,0.00306263,0.150344734
669.9611816,0.022716171,0.022716171,0.003034113,0.149687647
670.979126,0.022841321,0.022841321,0.003047843,0.15053158
671.9967041,0.02263075,0.02263075,0.002994434,0.149307139
