Wavelength (nm),PC,PH,PI,PK,WH_lie0_1,WH_lie0_2,,,,,,,
597.713,325.666666666667,328.333333333333,331.333333333333,361.333333333333,335,331,,,,,,,
598.0569,329.666666666667,331.666666666667,329.666666666667,357.666666666667,331,329,,,,,,,
598.4008,325.666666666667,327,329.666666666667,362.666666666667,327,335,,,,,,,
598.7447,324,324.666666666667,329,357,332,334,,,,,,,
599.0886,325,328.333333333333,331.333333333333,360.666666666667,331,333,,,,,,,
599.4325,324.333333333333,323,332.333333333333,358,331,335,,,,,,,
599.7764,330.333333333333,329.333333333333,331.333333333333,358,323,334,,,,,,,
600.1203,326,323.666666666667,325.333333333333,357.666666666667,331,332,,,,,,,
600.4642,329.333333333333,325.666666666667,329,358,333,327,,,,,,,
600.8081,323.666666666667,326.666666666667,330.333333333333,357,329,337,,,,,,,
601.152,323.333333333333,327.666666666667,325.333333333333,353.333333333333,326,332,,,,,,,
601.4959,325.333333333333,326.333333333333,328.666666666667,351.666666666667,331,327,,,,,,,
601.8398,325.333333333333,331,324,359,335,326,,,,,,,
602.1837,325.333333333333,326.333333333333,332.666666666667,357.666666666667,333,333,,,,,,,
602.5276,321.666666666667,328.333333333333,330.333333333333,359.333333333333,337,332,,,,,,,
602.8715,324.666666666667,330,332.666666666667,365.333333333333,333,329,,,,,,,
603.2154,324.666666666667,328.333333333333,331,363.666666666667,337,323,,,,,,,
603.5593,325.333333333333,329.333333333333,335.333333333333,365.333333333333,336,330,,,,,,,
603.9032,329.666666666667,329.333333333333,333,366.333333333333,333,329,,,,,,,
604.2471,328.666666666667,328,332,373.333333333333,330,339,,,,,,,
604.591,330.333333333333,332,333,367.333333333333,336,338,,,,,,,
604.9349,330,330.333333333333,332,368.333333333333,330,334,,,,,,,
605.2788,332.666666666667,329.333333333333,334,369.666666666667,328,343,,,,,,,
605.6227,330,332,335,373,338,335,,,,,,,
605.9666,331.333333333333,329.333333333333,337,374,335,336,,,,,,,
606.3105,329.333333333333,332.333333333333,337.333333333333,370,338,336,,,,,,,
606.6544,329.666666666667,330,329.666666666667,373,329,332,,,,,,,
606.9983,329.666666666667,332,333,368.666666666667,331,336,,,,,,,
607.3422,328.666666666667,330,333,369,336,333,,,,,,,
607.6861,330,329.333333333333,334.333333333333,364.666666666667,328,332,,,,,,,
608.03,326.666666666667,330.333333333333,333.666666666667,364,330,333,,,,,,,
608.3739,330.666666666667,325.333333333333,336.333333333333,362.333333333333,330,331,,,,,,,
608.7178,322.666666666667,329.333333333333,328,362.666666666667,335,332,,,,,,,
609.0617,329.333333333333,332.666666666667,332.666666666667,361,337,336,,,,,,,
609.4056,331,329.333333333333,333.666666666667,360,336,336,,,,,,,
609.7495,326.333333333333,328.333333333333,332.666666666667,359.666666666667,335,332,,,,,,,
610.0934,327.666666666667,327.333333333333,334.333333333333,362.333333333333,332,331,,,,,,,
610.4373,326,333.333333333333,333.333333333333,365,334,335,,,,,,,
610.7812,330.666666666667,330,329.666666666667,359.666666666667,338,339,,,,,,,
611.1251,326.333333333333,327.666666666667,337,363.666666666667,333,335,,,,,,,
611.469,328.333333333333,329.333333333333,335.666666666667,369.666666666667,338,335,,,,,,,
